tag,game,characters
BiscuitCakes,melee,""""""
Guacho,melee,""""""
4Him,melee,""""""
Funmachine,melee,"{""melee/luigi"": 57, ""melee/falco"": 5, ""melee/fox"": 2}"
Trip Dart,melee,""""""
Toin-Coss,melee,""""""
WildCard,melee,""""""
Flamin Roy,melee,"{""melee/fox"": 2}"
Item,melee,"{""melee/captainfalcon"": 15}"
Potahontas,melee,""""""
GI0GOAT,melee,"{""melee/fox"": 89}"
Nexplosion,melee,""""""
Guru,melee,"{""melee/falco"": 3}"
Lutte,melee,"{""melee/marth"": 5, ""melee/fox"": 35, ""melee/falco"": 9, ""melee/peach"": 7}"
F@,melee,""""""
TastySnax12,melee,""""""
mace,melee,"{""melee/samus"": 156, ""melee/falco"": 9, ""melee/fox"": 12, ""melee/sheik"": 2, ""melee/marth"": 1}"
Rooster,melee,"{""melee/jigglypuff"": 36}"
Mees,melee,""""""
NANI,melee,"{""melee/fox"": 4}"
Neighbor,melee,"{""melee/jigglypuff"": 11}"
Xaina,melee,""""""
Clackers,melee,"{""melee/sheik"": 30}"
Spy,melee,"{""melee/falco"": 84, ""melee/sheik"": 10}"
HC Chris,melee,""""""
Frank,melee,""""""
Dignity,melee,""""""
Shug,melee,""""""
tveaux,melee,"{""melee/fox"": 15}"
Snover,melee,""""""
MOM!,melee,"{""melee/peach"": 612, ""melee/sheik"": 23, ""melee/mrgameandwatch"": 6, ""melee/fox"": 12, ""melee/marth"": 35, ""melee/falco"": 2}"
fknsilver,melee,"{""melee/samus"": 2464, ""melee/fox"": 120, ""melee/sheik"": 5, ""melee/captainfalcon"": 5, ""melee/pikachu"": 3, ""melee/falco"": 5, ""melee/younglink"": 1, ""melee/marth"": 1, ""melee/mario"": 20, ""melee/random"": 5, ""melee/peach"": 1}"
GrandAmMan,melee,"{""melee/captainfalcon"": 7}"
T,melee,"{""melee/fox"": 10, ""melee/marth"": 4, ""melee/sheik"": 5}"
Den,melee,"{""melee/fox"": 597, ""melee/falco"": 36}"
Squeg,melee,""""""
Carl,melee,""""""
Captain Planet,melee,""""""
Toti,melee,""""""
aReEeNeN,melee,""""""
Venomous Silver,melee,""""""
shenanigans,melee,""""""
Emblematic,melee,""""""
Smiles,melee,""""""
cardigan,melee,""""""
Eikelmann,melee,"{""melee/ganondorf"": 24}"
Enemy,melee,"{""melee/fox"": 264, ""melee/sheik"": 17, ""melee/peach"": 11}"
Didje,melee,""""""
SAkbal,melee,""""""
SourMelon,melee,"{""melee/falco"": 8, ""melee/luigi"": 43}"
Porkyz,melee,""""""
Grunkis,melee,"{""melee/falco"": 18}"
Nightwing,melee,""""""
Scoopy,melee,""""""
DarkFlame,melee,""""""
Luppi,melee,"{""melee/falco"": 80, ""melee/ganondorf"": 15}"
AKO,melee,""""""
yuyu,melee,"{""melee/fox"": 5}"
Sunshine,melee,""""""
T2,melee,"{""melee/fox"": 10}"
Taterthot,melee,"{""melee/falco"": 6}"
orangesya,melee,""""""
Shifty,melee,"{""melee/marth"": 141, ""melee/sheik"": 6}"
Mr_Dr_Higgins,melee,""""""
Husband,melee,"{""melee/marth"": 264, ""melee/jigglypuff"": 2}"
Kit,melee,"{""melee/peach"": 7}"
S+Hiro,melee,"{""melee/fox"": 46, ""melee/sheik"": 59, ""melee/donkeykong"": 1, ""melee/falco"": 6, ""melee/peach"": 7, ""melee/captainfalcon"": 8, ""melee/yoshi"": 3}"
buffle,melee,""""""
Venom Turtle,melee,""""""
Ampsen,melee,""""""
Zach,melee,""""""
Wale,melee,"{""melee/jigglypuff"": 358, ""melee/marth"": 15, ""melee/peach"": 3, ""melee/fox"": 8, ""melee/falco"": 11, ""melee/sheik"": 1}"
Bund,melee,"{""melee/sheik"": 107, ""melee/fox"": 31, ""melee/pichu"": 1}"
FoxyGrandpa,melee,""""""
Frapple_Apple,melee,""""""
DrLobster,melee,"{""melee/sheik"": 236, ""melee/falco"": 3, ""melee/fox"": 6, ""melee/peach"": 14}"
Telechubby,melee,"{""melee/fox"": 5}"
Razu,melee,""""""
Cripto,melee,""""""
Raven,melee,""""""
YokaiNels,melee,"{""melee/marth"": 558, ""melee/link"": 1, ""melee/random"": 11, ""melee/ganondorf"": 6, ""melee/bowser"": 1, ""melee/mrgameandwatch"": 1, ""melee/iceclimbers"": 3, ""melee/fox"": 1, ""melee/falco"": 2}"
BryTheGuy,melee,""""""
Jake,melee,"{""melee/marth"": 69, ""melee/sheik"": 20, ""melee/fox"": 2}"
notgud,melee,""""""
xHooper,melee,""""""
Quam18,melee,""""""
Beans,melee,""""""
MasterMetall,melee,""""""
Arcana,melee,""""""
Axon,melee,"{""melee/fox"": 107}"
JJM,melee,"{""melee/peach"": 82, ""melee/iceclimbers"": 81}"
King K,melee,""""""
Goondy,melee,""""""
Mo $,melee,"{""melee/sheik"": 63}"
Krisspear,melee,"{""melee/jigglypuff"": 17}"
Slamburger Helper,melee,""""""
wollywog,melee,"{""melee/marth"": 30}"
Eager,melee,""""""
Fresh Prince,melee,"{""melee/falco"": 6, ""melee/marth"": 41}"
VorpalStorm,melee,""""""
Aglet,melee,""""""
Noble,melee,""""""
DoubleJ,melee,""""""
2% LegenDairy,melee,""""""
Belgish,melee,"{""melee/marth"": 1, ""melee/jigglypuff"": 2}"
Cheez,melee,""""""
efthy,melee,""""""
Cube,melee,""""""
DSXXI,melee,""""""
Plumb Drums,melee,""""""
chinchilla,melee,""""""
Parker,melee,""""""
slaywithfury,melee,""""""
Shinnoha,melee,""""""
ericiscool.net,melee,"{""melee/falco"": 2623, ""melee/marth"": 140, ""melee/donkeykong"": 6, ""melee/fox"": 2, ""melee/captainfalcon"": 2, ""melee/mario"": 1}"
"���������, ������������ (kero)",melee,"{""melee/fox"": 38, ""melee/luigi"": 50, ""melee/iceclimbers"": 16, ""melee/sheik"": 47, ""melee/jigglypuff"": 7, ""melee/donkeykong"": 1, ""melee/peach"": 8, ""melee/samus"": 1}"
Painkiller,melee,""""""
Zay,melee,"{""melee/samus"": 11, ""melee/sheik"": 1}"
DoublePoof,melee,""""""
tim,melee,""""""
lean,melee,"{""melee/captainfalcon"": 9, ""melee/marth"": 7, ""melee/sheik"": 3, ""melee/falco"": 4, ""melee/ganondorf"": 3}"
Vist,melee,"{""melee/luigi"": 17}"
AxeL,melee,"{""melee/peach"": 10}"
Farapalap,melee,""""""
TGMarioMain,melee,""""""
GCS,melee,"{""melee/captainfalcon"": 77}"
WillieSchmillieBoyMan,melee,"{""melee/falco"": 42}"
MAV,melee,""""""
SpiceOrange,melee,"{""melee/marth"": 156, ""melee/kirby"": 14, ""melee/falco"": 29, ""melee/mario"": 14, ""melee/zelda"": 9, ""melee/sheik"": 13, ""melee/jigglypuff"": 3, ""melee/fox"": 12, ""melee/samus"": 2, ""melee/pikachu"": 1, ""melee/link"": 1}"
2-Extreme Virginia-East,melee,""""""
Lyr,melee,""""""
Horbie,melee,""""""
Slade,melee,"{""melee/fox"": 212, ""melee/peach"": 30}"
Vegas,melee,""""""
MC David,melee,"{""melee/peach"": 174}"
Profanity,melee,"{""melee/peach"": 17, ""melee/fox"": 19, ""melee/sheik"": 2}"
Monkey,melee,""""""
SilverStorm,melee,""""""
Finncident,melee,""""""
smed,melee,"{""melee/falco"": 50}"
FPK,melee,""""""
jiga,melee,""""""
HiFi,melee,""""""
Kunio,melee,""""""
Bread,melee,""""""
Loyal,melee,""""""
Captain Smuckers,melee,"{""melee/captainfalcon"": 170, ""melee/pikachu"": 7}"
PurpleDolphin,melee,"{""melee/falco"": 117}"
The Leaf,melee,"{""melee/fox"": 538, ""melee/sheik"": 15, ""melee/jigglypuff"": 1, ""melee/marth"": 6}"
0range,melee,""""""
Yani,melee,""""""
Rift,melee,"{""melee/falco"": 5, ""melee/fox"": 12, ""melee/sheik"": 24, ""melee/marth"": 1, ""melee/iceclimbers"": 1}"
Quote,melee,"{""melee/fox"": 79}"
Sirmeris,melee,"{""melee/peach"": 398, ""melee/mario"": 1, ""melee/fox"": 6, ""melee/marth"": 4}"
SD,melee,""""""
Leodoodlik,melee,""""""
Lana Del Krey,melee,"{""melee/peach"": 15, ""melee/fox"": 2}"
Propane,melee,""""""
GooseWithSocks,melee,""""""
Tips,melee,"{""melee/captainfalcon"": 5, ""melee/ness"": 8}"
B Rod,melee,""""""
DingusPunch,melee,""""""
Badwolf,melee,""""""
L4ME,melee,"{""melee/fox"": 15, ""melee/falco"": 5}"
KBag,melee,""""""
Owen,melee,""""""
Stubbs,melee,""""""
Ogdog,melee,""""""
Vdub,melee,""""""
Zeph,melee,"{""melee/fox"": 43, ""melee/sheik"": 3}"
Snivy102,melee,"{""melee/fox"": 30}"
Nydren,melee,""""""
Hobobench,melee,""""""
Lo,melee,"{""melee/sheik"": 4}"
Texas Pete,melee,""""""
Andy,melee,""""""
DoH,melee,"{""melee/peach"": 2}"
TaeJa,melee,"{""melee/sheik"": 15, ""melee/falco"": 4, ""melee/marth"": 2, ""melee/fox"": 13, ""melee/peach"": 1}"
Russle Steel,melee,""""""
CMac,melee,""""""
Rokd,melee,""""""
Katsu,melee,"{""melee/falco"": 12}"
Andrade,melee,""""""
PD,melee,"{""melee/jigglypuff"": 125, ""melee/peach"": 5}"
SexyManStan,melee,""""""
Vintage,melee,"{""melee/marth"": 182, ""melee/fox"": 110, ""melee/sheik"": 48, ""melee/random"": 15, ""melee/captainfalcon"": 2, ""melee/falco"": 1, ""melee/donkeykong"": 1}"
Trash,melee,"{""melee/sheik"": 654, ""melee/marth"": 43, ""melee/fox"": 246, ""melee/falco"": 59, ""melee/random"": 5, ""melee/zelda"": 4, ""melee/iceclimbers"": 4, ""melee/donkeykong"": 3, ""melee/peach"": 5, ""melee/drmario"": 54}"
CornCobKing,melee,"{""melee/falco"": 108, ""melee/fox"": 4}"
R&R,melee,"{""melee/falco"": 494}"
chuckgoose,melee,""""""
Flubsy,melee,""""""
Phives,melee,""""""
Droog,melee,"{""melee/falco"": 11}"
Taze,melee,""""""
Justin,melee,""""""
Yummyness,melee,""""""
Gay Mysterio,melee,""""""
Leo Luster!,melee,"{""melee/falco"": 6, ""melee/donkeykong"": 4}"
SpoodBeest,melee,"{""melee/luigi"": 12}"
Ividboy,melee,"{""melee/captainfalcon"": 26}"
ZENT,melee,"{""melee/peach"": 18, ""melee/captainfalcon"": 1}"
Foda,melee,""""""
Hoopla,melee,""""""
Bobakanoosh,melee,"{""melee/captainfalcon"": 237, ""melee/jigglypuff"": 15, ""melee/link"": 14, ""melee/ganondorf"": 7, ""melee/drmario"": 1, ""melee/peach"": 1, ""melee/sheik"": 2, ""melee/mario"": 1, ""melee/fox"": 11, ""melee/donkeykong"": 1, ""melee/mrgameandwatch"": 2}"
SpaceJockey,melee,"{""melee/fox"": 27, ""melee/falco"": 1, ""melee/mrgameandwatch"": 1}"
Hash Slinging Smasher,melee,""""""
Thunder Chicken,melee,""""""
Beto,melee,""""""
Pradagyy,melee,""""""
DopeLobo,melee,""""""
roosterjones,melee,""""""
Y2K,melee,""""""
Tom Cruise,melee,""""""
Nintendoman,melee,"{""melee/sheik"": 71, ""melee/fox"": 14, ""melee/marth"": 3, ""melee/drmario"": 11, ""melee/ganondorf"": 1, ""melee/falco"": 1}"
Ender,melee,"{""melee/iceclimbers"": 3, ""melee/marth"": 1}"
NVTS,melee,""""""
FiFi,melee,""""""
Robitussin,melee,""""""
plush,melee,"{""melee/peach"": 336, ""melee/falco"": 13}"
jameslandino,melee,""""""
zamper,melee,""""""
FZeroRacer,melee,""""""
ChefQ,melee,"{""melee/fox"": 9, ""melee/marth"": 4, ""melee/captainfalcon"": 3, ""melee/sheik"": 2, ""melee/peach"": 13}"
Dougie,melee,""""""
Gallodel,melee,""""""
jus.,melee,""""""
Hennessy,melee,""""""
LastHero,melee,""""""
Olash,melee,"{""melee/iceclimbers"": 18}"
Poop,melee,""""""
���������(watch),melee,""""""
Something,melee,""""""
mapplesauce,melee,""""""
coolguy76,melee,""""""
Draven,melee,"{""melee/falco"": 12}"
El Ni��o,melee,""""""
BT Zane,melee,""""""
bbpoltergiest,melee,"{""melee/fox"": 7, ""melee/falco"": 4}"
Seaworld,melee,""""""
Kaisano,melee,""""""
Leopluradon,melee,""""""
BreaK,melee,""""""
Oak,melee,"{""melee/falco"": 10}"
Esa,melee,""""""
Skrai,melee,"{""melee/fox"": 10}"
Siddward,melee,"{""melee/luigi"": 5802, ""melee/bowser"": 3, ""melee/captainfalcon"": 29, ""melee/fox"": 762, ""melee/pichu"": 17, ""melee/random"": 112, ""melee/jigglypuff"": 38, ""melee/falco"": 22, ""melee/sheik"": 58, ""melee/mewtwo"": 10, ""melee/ness"": 1, ""melee/kirby"": 18, ""melee/samus"": 63, ""melee/marth"": 205, ""melee/drmario"": 61, ""melee/roy"": 4, ""melee/pikachu"": 9, ""melee/mrgameandwatch"": 7, ""melee/iceclimbers"": 10, ""melee/peach"": 15, ""melee/link"": 13, ""melee/ganondorf"": 2, ""melee/mario"": 2, ""melee/donkeykong"": 1}"
Sp1nda,melee,"{""melee/fox"": 584, ""melee/link"": 2, ""melee/roy"": 2, ""melee/zelda"": 1, ""melee/kirby"": 6, ""melee/bowser"": 2}"
MegaX11,melee,""""""
Jordova,melee,""""""
Professor Cube,melee,"{""melee/jigglypuff"": 29, ""melee/marth"": 4}"
deborah,melee,""""""
Dark Plup,melee,""""""
joepesci,melee,"{""melee/falco"": 108, ""melee/fox"": 14, ""melee/jigglypuff"": 6, ""melee/luigi"": 1, ""melee/younglink"": 2, ""melee/captainfalcon"": 1}"
Cruz Control,melee,""""""
Corgi,melee,"{""melee/fox"": 68, ""melee/falco"": 3}"
Spaz,melee,""""""
Tagless,melee,""""""
HawkDad,melee,""""""
Skoopdish,melee,""""""
opx,melee,"{""melee/marth"": 8, ""melee/fox"": 12, ""melee/falco"": 4, ""melee/captainfalcon"": 1}"
Heartstrings,melee,"{""melee/sheik"": 133}"
ThaLemon,melee,""""""
Static,melee,"{""melee/bowser"": 4}"
Hoss,melee,"{""melee/falco"": 13, ""melee/fox"": 115, ""melee/ganondorf"": 40, ""melee/marth"": 15, ""melee/kirby"": 3, ""melee/sheik"": 2}"
Moss,melee,""""""
Sanne,melee,"{""melee/falco"": 72, ""melee/fox"": 58, ""melee/sheik"": 9, ""melee/drmario"": 13}"
jpo,melee,""""""
Banj0,melee,""""""
Peachy Pichu,melee,""""""
NOTACOP,melee,""""""
Dorpex,melee,""""""
Cucumber,melee,""""""
Sephy,melee,""""""
Rolyat,melee,""""""
Basic Stitch,melee,"{""melee/peach"": 29, ""melee/sheik"": 1, ""melee/samus"": 1}"
Ears,melee,"{""melee/peach"": 280}"
kitmonchan,melee,"{""melee/falco"": 22, ""melee/sheik"": 1, ""melee/fox"": 4}"
gnoggin,melee,""""""
Bombogi,melee,"{""melee/falco"": 4}"
KT,melee,"{""melee/fox"": 27, ""melee/falco"": 8}"
Desmindo,melee,""""""
Basketball Goku,melee,""""""
Sloppy Jellopy,melee,""""""
LimeLord,melee,"{""melee/falco"": 5}"
iBeProFinn,melee,""""""
Bob-omb,melee,""""""
NATE,melee,""""""
Sharkz,melee,"{""melee/iceclimbers"": 8}"
Faux,melee,"{""melee/peach"": 9}"
Orange Juice,melee,"{""melee/captainfalcon"": 3, ""melee/falco"": 13}"
Director Mellow,melee,"{""melee/marth"": 8}"
Vesetnet,melee,"{""melee/falco"": 9}"
Dahong,melee,"{""melee/marth"": 103, ""melee/captainfalcon"": 1}"
cakes,melee,"{""melee/fox"": 19, ""melee/roy"": 2, ""melee/falco"": 3, ""melee/donkeykong"": 1, ""melee/captainfalcon"": 1}"
Pisces,melee,"{""melee/marth"": 39}"
Zel,melee,""""""
XPO,melee,""""""
Old Man G,melee,""""""
Dazzle,melee,""""""
Marigold,melee,""""""
Wilachas,melee,""""""
Phish,melee,"{""melee/falco"": 15, ""melee/younglink"": 21, ""melee/random"": 3}"
Bert,melee,""""""
Golden,melee,"{""melee/jigglypuff"": 1040, ""melee/peach"": 3, ""melee/pikachu"": 4}"
Cag,melee,""""""
Lan,melee,""""""
Nights Fire,melee,"{""melee/marth"": 274, ""melee/fox"": 43}"
B1llstar,melee,""""""
jepsen,melee,"{""melee/fox"": 6, ""melee/peach"": 5}"
nicky,melee,"{""melee/drmario"": 4}"
Seven,melee,"{""melee/sheik"": 551, ""melee/peach"": 4}"
Mr. Olsen,melee,"{""melee/marth"": 56, ""melee/ganondorf"": 1, ""melee/falco"": 2}"
Makin Bacon,melee,""""""
Jamal,melee,""""""
Ott,melee,"{""melee/marth"": 62}"
Mr. Shackles,melee,""""""
JJX,melee,""""""
Shogo,melee,""""""
Savestate,melee,"{""melee/link"": 597, ""melee/fox"": 26, ""melee/iceclimbers"": 13, ""melee/bowser"": 1, ""melee/falco"": 5}"
Molto,melee,"{""melee/samus"": 23, ""melee/fox"": 3, ""melee/peach"": 4}"
Brey,melee,""""""
Gabecarphoto,melee,""""""
Yez,melee,""""""
DG,melee,""""""
Lu,melee,""""""
4est,melee,"{""melee/sheik"": 12, ""melee/fox"": 7, ""melee/marth"": 3, ""melee/peach"": 1, ""melee/drmario"": 1, ""melee/bowser"": 3, ""melee/captainfalcon"": 1}"
gump,melee,""""""
Tron,melee,"{""melee/fox"": 5, ""melee/sheik"": 2}"
Spritznok,melee,"{""melee/falco"": 42, ""melee/fox"": 3}"
BigDickMik,melee,""""""
CopyCat,melee,""""""
toy,melee,""""""
Cdolla,melee,"{""melee/falco"": 99, ""melee/fox"": 1}"
D3LISH,melee,""""""
The Law,melee,""""""
ShellShock,melee,""""""
QuackAttack,melee,""""""
Chief,melee,""""""
Slowking,melee,"{""melee/falco"": 2237, ""melee/fox"": 24, ""melee/captainfalcon"": 1, ""melee/marth"": 5, ""melee/mewtwo"": 1, ""melee/pikachu"": 4, ""melee/random"": 9, ""melee/jigglypuff"": 3, ""melee/sheik"": 2, ""melee/drmario"": 1}"
AMP,melee,""""""
Krook,melee,""""""
Sofa-,melee,"{""melee/peach"": 22, ""melee/fox"": 3}"
Vann Allen,melee,""""""
JimgoGulag,melee,""""""
east,melee,"{""melee/falco"": 168, ""melee/fox"": 24}"
U.F.O,melee,""""""
RunWithIt,melee,""""""
Frogbin,melee,""""""
Echo,melee,""""""
SearingArrow,melee,""""""
Lanceinthepants,melee,"{""melee/falco"": 12, ""melee/fox"": 2}"
Sad Jesus,melee,"{""melee/marth"": 12}"
Nightshade,melee,""""""
Scantron,melee,"{""melee/luigi"": 1, ""melee/marth"": 4}"
Pusheen Queen,melee,""""""
hazy,melee,"{""melee/marth"": 75}"
hat,melee,"{""melee/sheik"": 27, ""melee/falco"": 1, ""melee/captainfalcon"": 3}"
Lucky_Hamburger,melee,""""""
Boxer,melee,""""""
Lederhosen,melee,""""""
Otter,melee,""""""
Epic,melee,""""""
Yoda Cage,melee,""""""
JayEmCee,melee,""""""
MF Greenthumb,melee,""""""
Val,melee,"{""melee/jigglypuff"": 1909, ""melee/link"": 2, ""melee/luigi"": 2, ""melee/kirby"": 2, ""melee/fox"": 1, ""melee/marth"": 2, ""melee/mrgameandwatch"": 1}"
Agger,melee,""""""
Walz,melee,"{""melee/iceclimbers"": 1, ""melee/luigi"": 3, ""melee/ganondorf"": 1, ""melee/fox"": 1}"
Fluzi,melee,""""""
Farko,melee,"{""melee/marth"": 318, ""melee/ganondorf"": 16, ""melee/younglink"": 2}"
JB,melee,""""""
Dawson,melee,"{""melee/jigglypuff"": 4397, ""melee/fox"": 18, ""melee/bowser"": 2, ""melee/falco"": 1, ""melee/sheik"": 2, ""melee/iceclimbers"": 9}"
BIG BONN,melee,"{""melee/falco"": 4, ""melee/fox"": 1, ""melee/captainfalcon"": 3, ""melee/yoshi"": 1}"
Bob Thunder,melee,""""""
Koley,melee,""""""
Hutch,melee,""""""
Poseidon,melee,"{""melee/sheik"": 171, ""melee/fox"": 2}"
Exposed,melee,"{""melee/captainfalcon"": 63, ""melee/jigglypuff"": 1, ""melee/fox"": 4}"
Daniel,melee,"{""melee/fox"": 11}"
JustJoe,melee,"{""melee/donkeykong"": 2, ""melee/falco"": 1, ""melee/fox"": 3}"
SpookedYa!,melee,""""""
Zishim,melee,""""""
Owl,melee,"{""melee/mrgameandwatch"": 3, ""melee/fox"": 4}"
SwoloYaggins,melee,""""""
Kibbles,melee,"{""melee/yoshi"": 51, ""melee/captainfalcon"": 3}"
Dirtboy,melee,"{""melee/peach"": 107, ""melee/fox"": 1}"
SamAsh,melee,""""""
Enzie,melee,""""""
Neville,melee,""""""
SomeonesPC,melee,"{""melee/samus"": 26, ""melee/fox"": 7, ""melee/falco"": 2, ""melee/captainfalcon"": 1}"
Nestirr,melee,""""""
Encore,melee,""""""
Shogi,melee,""""""
Simon,melee,"{""melee/fox"": 46, ""melee/mrgameandwatch"": 8}"
GODDISH,melee,"{""melee/falco"": 5, ""melee/roy"": 14}"
Teknoor,melee,"{""melee/falco"": 8, ""melee/jigglypuff"": 1}"
Cynthwave,melee,"{""melee/sheik"": 30}"
JBas,melee,"{""melee/fox"": 3}"
Sarth,melee,""""""
Ryno,melee,""""""
Shinooby,melee,""""""
DevvyStar,melee,""""""
Link2TheSmash,melee,""""""
Halberd,melee,""""""
Supa,melee,"{""melee/fox"": 4, ""melee/falco"": 5}"
Sluggo,melee,"{""melee/fox"": 71, ""melee/link"": 6}"
Sharkbait,melee,""""""
Nagy,melee,"{""melee/marth"": 12}"
Ben,melee,""""""
ShakeDrizzle,melee,""""""
"Guap, The",melee,""""""
Bird,melee,"{""melee/fox"": 62, ""melee/jigglypuff"": 5, ""melee/falco"": 13, ""melee/sheik"": 2}"
Swasted,melee,"{""melee/samus"": 2}"
Faber,melee,"{""melee/marth"": 148, ""melee/fox"": 4}"
SypherPhoenix,melee,"{""melee/fox"": 11}"
Thx,melee,""""""
Joey-Laces,melee,""""""
Wonov,melee,"{""melee/marth"": 3, ""melee/fox"": 7, ""melee/captainfalcon"": 35, ""melee/ganondorf"": 29}"
Quist,melee,"{""melee/sheik"": 4}"
Stamate,melee,"{""melee/falco"": 6, ""melee/captainfalcon"": 172}"
Phenomonopoly,melee,""""""
~Nah~,melee,""""""
Salvo,melee,""""""
STINKMAN GEMINI,melee,"{""melee/captainfalcon"": 11}"
Jonny2x4,melee,""""""
Macintosh,melee,""""""
Travy,melee,"{""melee/luigi"": 355, ""melee/drmario"": 2, ""melee/donkeykong"": 2, ""melee/fox"": 20, ""melee/falco"": 10, ""melee/iceclimbers"": 103, ""melee/mewtwo"": 7, ""melee/captainfalcon"": 2, ""melee/kirby"": 14}"
MEAT,melee,"{""melee/marth"": 11}"
Redman,melee,"{""melee/sheik"": 49, ""melee/ganondorf"": 17}"
Kang's Flyingkick,melee,""""""
Coco,melee,""""""
lowtier,melee,""""""
ScrapMettle,melee,""""""
BroadRun,melee,""""""
Mrsic,melee,""""""
Bettsy,melee,""""""
SM,melee,""""""
JKJ,melee,"{""melee/fox"": 90, ""melee/donkeykong"": 69}"
5,melee,""""""
NIGHTCORE HAMSTER,melee,""""""
Skrai,melee,"{""melee/falco"": 21, ""melee/fox"": 3}"
Sigh,melee,"{""melee/sheik"": 55, ""melee/samus"": 1, ""melee/fox"": 1, ""melee/pichu"": 3, ""melee/mrgameandwatch"": 1, ""melee/ganondorf"": 1, ""melee/marth"": 1, ""melee/captainfalcon"": 2}"
Cob,melee,"{""melee/peach"": 219, ""melee/younglink"": 1, ""melee/fox"": 1, ""melee/bowser"": 82, ""melee/mrgameandwatch"": 4, ""melee/sheik"": 26}"
bambi,melee,"{""melee/younglink"": 376, ""melee/falco"": 335, ""melee/fox"": 17, ""melee/peach"": 3, ""melee/link"": 2, ""melee/marth"": 1, ""melee/jigglypuff"": 1, ""melee/sheik"": 1, ""melee/captainfalcon"": 1, ""melee/pikachu"": 14}"
Coach Drago,melee,""""""
Bananime,melee,""""""
Y_Try,melee,""""""
CaptButter,melee,""""""
Skittlez,melee,"{""melee/falco"": 16, ""melee/fox"": 3, ""melee/mrgameandwatch"": 2}"
Dash,melee,"{""melee/fox"": 191, ""melee/falco"": 10}"
60 mL,melee,""""""
dogger,melee,"{""melee/fox"": 38}"
Rey,melee,""""""
Spaceman,melee,""""""
Joeseidon,melee,""""""
Free,melee,""""""
Yung John,melee,"{""melee/falco"": 17}"
BlinkRider,melee,""""""
SuperGinger,melee,"{""melee/fox"": 25, ""melee/captainfalcon"": 3}"
Ash,melee,""""""
DeathMelon,melee,""""""
Gonzo,melee,"{""melee/captainfalcon"": 33, ""melee/falco"": 13, ""melee/marth"": 18, ""melee/ganondorf"": 4}"
gremwave,melee,"{""melee/marth"": 34}"
Saron,melee,""""""
roma,melee,"{""melee/falco"": 79, ""melee/fox"": 3}"
Snacc,melee,""""""
Weo Weo Jax,melee,"{""melee/fox"": 2, ""melee/captainfalcon"": 8, ""melee/falco"": 3}"
JBs,melee,"{""melee/captainfalcon"": 149}"
Lunch,melee,""""""
Hyrax,melee,"{""melee/fox"": 12, ""melee/marth"": 1}"
Ragnite,melee,"{""melee/falco"": 87, ""melee/fox"": 2}"
LucarioTrainer42,melee,""""""
Kezzup,melee,"{""melee/iceclimbers"": 72}"
Twunt,melee,""""""
Tylen0l,melee,""""""
Kirkas,melee,""""""
Noba,melee,""""""
InLimbo,melee,""""""
Twisty,melee,"{""melee/falco"": 52, ""melee/fox"": 48, ""melee/sheik"": 3}"
vien,melee,""""""
wavves,melee,""""""
Joemama,melee,"{""melee/sheik"": 92}"
Nasty,melee,""""""
The First Mimsy,melee,"{""melee/peach"": 16, ""melee/falco"": 3}"
SEXMAN,melee,""""""
Chibi,melee,""""""
flaSh,melee,""""""
Inferno9000,melee,"{""melee/sheik"": 11}"
Cr��me de le M��me,melee,""""""
Quote,melee,"{""melee/marth"": 120, ""melee/falco"": 2}"
Weis,melee,""""""
Subtle,melee,"{""melee/sheik"": 26, ""melee/fox"": 1}"
Lio,melee,""""""
Stunt,melee,""""""
Honeybear,melee,"{""melee/pikachu"": 2}"
oh gosh,melee,""""""
Dead,melee,""""""
NCR0,melee,"{""melee/sheik"": 26, ""melee/fox"": 2, ""melee/falco"": 5}"
Yori,melee,""""""
Kaiser-GL,melee,""""""
Baithoven,melee,""""""
Flam,melee,"{""melee/captainfalcon"": 15}"
Battery,melee,"{""melee/captainfalcon"": 6, ""melee/mario"": 5, ""melee/random"": 4}"
Harpo,melee,""""""
EBND,melee,"{""melee/fox"": 455, ""melee/sheik"": 8, ""melee/captainfalcon"": 6, ""melee/samus"": 3, ""melee/jigglypuff"": 1, ""melee/peach"": 8}"
Chasm,melee,""""""
SFUTH,melee,""""""
Lazarous,melee,""""""
Nejay,melee,""""""
gator_timbs,melee,""""""
Chili,melee,""""""
babyquakes,melee,"{""melee/captainfalcon"": 53, ""melee/marth"": 1, ""melee/mewtwo"": 1}"
Takeshi,melee,"{""melee/marth"": 403, ""melee/sheik"": 3}"
Seb,melee,""""""
Doogal,melee,"{""melee/peach"": 127, ""melee/ganondorf"": 1, ""melee/sheik"": 1}"
ZECH,melee,""""""
Buggin,melee,""""""
Village Mascot,melee,""""""
Squidward19,melee,""""""
Wavebringer,melee,"{""melee/peach"": 6}"
Jenga,melee,""""""
MLTurtle,melee,""""""
Melon,melee,""""""
Stokage,melee,""""""
Mo-Eze,melee,"{""melee/fox"": 29, ""melee/ness"": 4, ""melee/peach"": 16}"
Edd,melee,""""""
OX-2,melee,""""""
Se��or,melee,""""""
Wisp,melee,"{""melee/peach"": 23}"
Drako,melee,""""""
DUO,melee,""""""
siked,melee,"{""melee/fox"": 10}"
Sophie,melee,""""""
Yinja,melee,"{""melee/sheik"": 295, ""melee/marth"": 2}"
Slam Duncan,melee,""""""
Wanye,melee,""""""
jth,melee,""""""
Farris,melee,""""""
HSK,melee,""""""
