tag,game,characters
Aklo,melee,"{""melee/fox"": 1919, ""melee/link"": 405, ""melee/jigglypuff"": 10, ""melee/marth"": 1, ""melee/sheik"": 2, ""melee/younglink"": 40, ""melee/roy"": 1, ""melee/kirby"": 12}"
PewPewU,melee,"{""melee/marth"": 410, ""melee/fox"": 40, ""melee/captainfalcon"": 5, ""melee/falco"": 12}"
Faceroll,melee,"{""melee/sheik"": 320}"
Albert,melee,"{""melee/falco"": 301, ""melee/fox"": 2}"
FatGoku,melee,"{""melee/fox"": 774, ""melee/bowser"": 6, ""melee/mario"": 1, ""melee/marth"": 1, ""melee/iceclimbers"": 1, ""melee/sheik"": 3}"
Shroomed,melee,"{""melee/sheik"": 653, ""melee/marth"": 141, ""melee/drmario"": 12, ""melee/iceclimbers"": 2, ""melee/captainfalcon"": 5}"
Suf,melee,"{""melee/captainfalcon"": 425, ""melee/bowser"": 1, ""melee/marth"": 36}"
SluG,melee,"{""melee/iceclimbers"": 701, ""melee/fox"": 33}"
moky,melee,"{""melee/fox"": 692, ""melee/marth"": 42, ""melee/zelda"": 2, ""melee/samus"": 2, ""melee/link"": 15, ""melee/yoshi"": 50, ""melee/captainfalcon"": 15, ""melee/iceclimbers"": 10, ""melee/sheik"": 20}"
Colbol,melee,"{""melee/fox"": 1162, ""melee/marth"": 34}"
Gahtzu,melee,"{""melee/captainfalcon"": 1997}"
Fiction,melee,"{""melee/fox"": 173, ""melee/falco"": 323}"
bobby big ballz,melee,"{""melee/falco"": 10221, ""melee/jigglypuff"": 135, ""melee/fox"": 399, ""melee/captainfalcon"": 22, ""melee/bowser"": 1, ""melee/kirby"": 1, ""melee/mrgameandwatch"": 16, ""melee/mario"": 12, ""melee/donkeykong"": 1, ""melee/marth"": 3, ""melee/pikachu"": 203, ""melee/iceclimbers"": 3, ""melee/ganondorf"": 8, ""melee/drmario"": 1, ""melee/sheik"": 1}"
Soonsay,melee,"{""melee/fox"": 880, ""melee/jigglypuff"": 1}"
Lucky,melee,"{""melee/fox"": 1565, ""melee/captainfalcon"": 41, ""melee/falco"": 4, ""melee/pichu"": 1, ""melee/marth"": 76, ""melee/roy"": 1}"
Magi,melee,"{""melee/falco"": 596}"
Kalamazhu,melee,"{""melee/peach"": 342, ""melee/fox"": 31}"
Dacky,melee,"{""melee/fox"": 588, ""melee/falco"": 2}"
KoDoRiN,melee,"{""melee/marth"": 1373, ""melee/roy"": 12}"
Hax$,melee,"{""melee/fox"": 474}"
Ben,melee,"{""melee/sheik"": 5250, ""melee/marth"": 87, ""melee/pichu"": 11, ""melee/luigi"": 72}"
Polish,melee,"{""melee/peach"": 488, ""melee/captainfalcon"": 14, ""melee/ganondorf"": 1, ""melee/link"": 3, ""melee/mario"": 2, ""melee/luigi"": 6, ""melee/yoshi"": 1, ""melee/mrgameandwatch"": 3, ""melee/fox"": 216, ""melee/random"": 14, ""melee/samus"": 1, ""melee/roy"": 1, ""melee/kirby"": 2, ""melee/zelda"": 1, ""melee/jigglypuff"": 15}"
-Caius-,melee,""""""
Bladewise,melee,"{""melee/peach"": 146}"
GOL_482_JSalt,melee,""""""
RiSK__,melee,""""""
MrWhiskerz,melee,""""""
LeeMartian,melee,""""""
Blea Gelo,melee,"{""melee/luigi"": 194, ""melee/fox"": 26, ""melee/pichu"": 1, ""melee/bowser"": 2, ""melee/captainfalcon"": 8, ""melee/marth"": 3, ""melee/ganondorf"": 2, ""melee/link"": 1, ""melee/mario"": 2}"
Smashstudios,melee,""""""
3speon,melee,""""""
Prince_Abu,melee,""""""
fisfity (Ghanima),melee,""""""
RanIji,melee,""""""
Thevelvetmarmot,melee,""""""
djdickdown,melee,""""""
CaptainZack,melee,""""""
mrjackets,melee,""""""
LA-owl,melee,""""""
NOLA-Griff,melee,""""""
Proud2Bginger,melee,""""""
Sami,melee,"{""melee/fox"": 158, ""melee/captainfalcon"": 9, ""melee/falco"": 13, ""melee/sheik"": 53}"
eb0123 (eet),melee,""""""
TheRealMrPrince,melee,""""""
Mew2King,melee,"{""melee/fox"": 115, ""melee/jigglypuff"": 1, ""melee/marth"": 319, ""melee/sheik"": 291, ""melee/pichu"": 9, ""melee/ganondorf"": 5, ""melee/peach"": 19, ""melee/link"": 6, ""melee/samus"": 3, ""melee/luigi"": 6}"
apengeriser,melee,""""""
TaylorHJ,melee,""""""
Magi_,melee,""""""
envyandalli,melee,""""""
Nintendude,melee,"{""melee/iceclimbers"": 175, ""melee/marth"": 76}"
Chillindude,melee,"{""melee/fox"": 64, ""melee/falco"": 13, ""melee/samus"": 9}"
MacD,melee,"{""melee/peach"": 156, ""melee/falco"": 3}"
Matt,melee,""""""
VS | Drunk Sloth,melee,""""""
BlueFoxXT,melee,""""""
Eddy Mexico,melee,"{""melee/luigi"": 2666, ""melee/marth"": 12, ""melee/captainfalcon"": 8, ""melee/fox"": 2, ""melee/mewtwo"": 2, ""melee/falco"": 1}"
OkamiBW,melee,""""""
Tope,melee,""""""
HugS,melee,"{""melee/samus"": 368}"
ROFL,melee,""""""
MYL,melee,""""""
Nickemwit,melee,"{""melee/captainfalcon"": 151, ""melee/marth"": 17}"
PorkChops,melee,"{""melee/falco"": 145, ""melee/fox"": 7}"
Ken,melee,"{""melee/marth"": 34}"
Tafokints,melee,"{""melee/sheik"": 27, ""melee/fox"": 1}"
ESAM,melee,"{""melee/samus"": 35, ""melee/fox"": 1, ""melee/pikachu"": 1}"
mikehaze (but on b0xx),melee,"{""melee/fox"": 268, ""melee/marth"": 2, ""melee/sheik"": 1}"
Squid,melee,"{""melee/falco"": 150}"
Rudolph,melee,"{""melee/marth"": 28, ""melee/fox"": 5, ""melee/sheik"": 2}"
Alan,melee,""""""
Reno,melee,"{""melee/sheik"": 61, ""melee/fox"": 34}"
Vish,melee,""""""
Professor Pro,melee,"{""melee/fox"": 722, ""melee/samus"": 18}"
Azen Zagenite,melee,""""""
Kira,melee,"{""melee/fox"": 16, ""melee/sheik"": 42, ""melee/jigglypuff"": 25}"
KoopaTroopa895,melee,""""""
dunk,melee,""""""
Laudandus,melee,"{""melee/sheik"": 88, ""melee/zelda"": 6}"
Alex19,melee,"{""melee/fox"": 98, ""melee/falco"": 2}"
Silent Wolf,melee,"{""melee/fox"": 81}"
JpegImage,melee,""""""
MIOM | Toph,melee,""""""
ChuDat,melee,"{""melee/iceclimbers"": 312, ""melee/younglink"": 1, ""melee/fox"": 5, ""melee/jigglypuff"": 2, ""melee/pikachu"": 3, ""melee/ganondorf"": 9, ""melee/samus"": 3, ""melee/mario"": 2}"
L,melee,""""""
Leffen,melee,"{""melee/fox"": 978, ""melee/marth"": 4, ""melee/donkeykong"": 2, ""melee/zelda"": 1, ""melee/jigglypuff"": 2, ""melee/pikachu"": 2, ""melee/ness"": 16, ""melee/luigi"": 2, ""melee/drmario"": 1, ""melee/younglink"": 2, ""melee/falco"": 1, ""melee/sheik"": 59, ""melee/link"": 1, ""melee/kirby"": 1, ""melee/random"": 9, ""melee/roy"": 3}"
TG Devastation,melee,""""""
Hyprid,melee,""""""
XTR | bimbo,melee,""""""
SacaSuMoto,melee,""""""
balloon,melee,""""""
gaR,melee,""""""
TGL | Drugged Fox,melee,""""""
Fly Amanita,melee,"{""melee/iceclimbers"": 32}"
Bizzarro Flame,melee,"{""melee/ganondorf"": 87}"
Taj,melee,""""""
Nefe,melee,""""""
PetteH,melee,""""""
Issi^,melee,""""""
Wingleborg,melee,""""""
Drasil,melee,""""""
Fuzzyness,melee,"{""melee/fox"": 91, ""melee/marth"": 42, ""melee/captainfalcon"": 7, ""melee/bowser"": 1}"
Armada,melee,"{""melee/fox"": 274, ""melee/peach"": 409, ""melee/jigglypuff"": 1}"
Kriz,melee,""""""
Pappa,melee,""""""
Taka,melee,""""""
Jam,melee,""""""
Zorc,melee,""""""
Smasher89,melee,""""""
P-Chips,melee,""""""
Madlobster,melee,""""""
Glaz,melee,""""""
Krisspear,melee,""""""
Imperfect,melee,""""""
Dahl,melee,""""""
Mr Greeb,melee,""""""
Endeby,melee,""""""
Kami,melee,""""""
Kiwigivi,melee,""""""
Dragmire Jr.,melee,""""""
Big Dick Bandit,melee,""""""
BrTarolg,melee,""""""
Charon,melee,""""""
Gardex,melee,""""""
Momo,melee,""""""
Yabasta,melee,""""""
Alchemist,melee,""""""
Bose,melee,""""""
FlikkFlakk,melee,""""""
Howie,melee,""""""
Hellmaker,melee,""""""
Zalvador,melee,""""""
Android,melee,"{""melee/sheik"": 82, ""melee/falco"": 4}"
Gabytime,melee,""""""
MISTRRLOVE,melee,""""""
Rocky,melee,"{""melee/falco"": 512}"
Nurk,melee,""""""
Luigo,melee,""""""
Maximus,melee,""""""
Erki,melee,""""""
B��ra,melee,""""""
S. Vinje,melee,""""""
Lars,melee,""""""
Harald,melee,""""""
Spitzy,melee,""""""
Thomas,melee,""""""
JAPF,melee,""""""
CXV,melee,""""""
Zaf,melee,""""""
Zoler,melee,""""""
BREAK,melee,""""""
Gale,melee,""""""
Vdogg,melee,""""""
Bike,melee,""""""
Hack,melee,""""""
Aquachu,melee,""""""
King Robin,melee,""""""
Plufball,melee,""""""
Beat,melee,""""""
Willz,melee,""""""
Hao,melee,""""""
Deathgazer,melee,""""""
Stelzig,melee,""""""
Schlimmshady,melee,""""""
King Funk,melee,""""""
Zgetto,melee,"{""melee/fox"": 7}"
D��umling,melee,""""""
Prof,melee,""""""
Jon_ass,melee,""""""
Eagle,melee,""""""
Pontus,melee,""""""
Mikehaggar,melee,""""""
Jerk,melee,""""""
Widl,melee,""""""
Adamdutchie,melee,""""""
JiM,melee,""""""
Yomi,melee,""""""
ProSmasherTim,melee,""""""
Baxon,melee,""""""
Raxomukus,melee,""""""
X1,melee,""""""
Random-Ness,melee,""""""
VJ,melee,""""""
Ice,melee,"{""melee/fox"": 472, ""melee/sheik"": 12, ""melee/captainfalcon"": 1, ""melee/marth"": 2, ""melee/falco"": 4}"
VA,melee,""""""
Amsah,melee,"{""melee/sheik"": 207, ""melee/fox"": 5, ""melee/peach"": 2, ""melee/marth"": 51}"
NamiNami,melee,""""""
Tomber,melee,""""""
Humpe,melee,""""""
Gusti,melee,""""""
Aniolas,melee,""""""
Calle W,melee,""""""
Dev,melee,""""""
Vilness,melee,""""""
V-Dogg,melee,""""""
Reaper,melee,""""""
AJP,melee,""""""
AvengerAngel,melee,""""""
Jolteon,melee,""""""
Jeapie,melee,""""""
Timi,melee,""""""
Flikkflakk,melee,""""""
Salepate,melee,""""""
Kuja,melee,""""""
Jadde,melee,""""""
IVP,melee,""""""
Mahie,melee,""""""
Fauster,melee,""""""
Kiw1,melee,""""""
JJLinyard,melee,""""""
Enig,melee,""""""
owl,melee,""""""
Envy,melee,""""""
dizzkidboogie,melee,""""""
The Author,melee,""""""
mordicon,melee,""""""
DaShizWiz,melee,"{""melee/falco"": 31}"
Paz,melee,""""""
Mushroom Dynamite!,melee,""""""
FlyingPikachu,melee,""""""
Cactuar,melee,"{""melee/fox"": 33, ""melee/marth"": 45}"
jBomb,melee,""""""
Pi,melee,""""""
JRad,melee,""""""
BigWenz,melee,""""""
Rice,melee,""""""
Christian,melee,""""""
Fearless,melee,""""""
BluEG,melee,""""""
H&V VS | Spider_Sense,melee,""""""
Moltov,melee,""""""
EE | uuaa,melee,""""""
Sartron,melee,""""""
s0ft,melee,"{""melee/jigglypuff"": 5}"
Apollo,melee,""""""
SS | Fullmetal,melee,""""""
moe | Upke,melee,""""""
Smilez=),melee,""""""
Drugged Fox,melee,""""""
MELEE HELL | Articanus,melee,""""""
Rula,melee,""""""
RockCrock,melee,""""""
SS | KeepSpeedN,melee,""""""
itspancaketime,melee,"{""melee/falco"": 30}"
Harriet,melee,""""""
Pengie,melee,""""""
BlueJim,melee,""""""
SS | PB&J,melee,""""""
Gravy,melee,"{""melee/fox"": 9, ""melee/captainfalcon"": 15}"
Deez,melee,""""""
Elliot,melee,""""""
VGBC | GimR,melee,""""""
GK | EikelmannRUS,melee,""""""
SS | Flow,melee,""""""
SS | SmashMac,melee,""""""
awstintacious,melee,""""""
Zhu,melee,"{""melee/falco"": 74, ""melee/fox"": 10, ""melee/sheik"": 4}"
Duck,melee,"{""melee/samus"": 298, ""melee/marth"": 2, ""melee/sheik"": 10}"
DJ Nintendo,melee,"{""melee/fox"": 21, ""melee/samus"": 1, ""melee/bowser"": 2, ""melee/sheik"": 1, ""melee/marth"": 1}"
Liquid`KDJ,melee,""""""
The Moon,melee,"{""melee/marth"": 311}"
Swedish Delight,melee,"{""melee/sheik"": 423, ""melee/peach"": 19, ""melee/fox"": 16, ""melee/luigi"": 6, ""melee/ganondorf"": 22}"
Larry Lurr,melee,""""""
KJH,melee,"{""melee/fox"": 664, ""melee/pichu"": 2, ""melee/falco"": 127}"
Swiftbass,melee,""""""
Drephen,melee,"{""melee/sheik"": 1510, ""melee/zelda"": 42, ""melee/pikachu"": 1, ""melee/marth"": 1}"
Thorn,melee,""""""
Wobbles,melee,"{""melee/iceclimbers"": 62}"
Ciz,melee,""""""
SloX,melee,"{""melee/fox"": 217, ""melee/falco"": 3, ""melee/sheik"": 1, ""melee/bowser"": 2, ""melee/captainfalcon"": 4, ""melee/jigglypuff"": 2}"
PPMD,melee,"{""melee/marth"": 41, ""melee/falco"": 21}"
aMSa,melee,"{""melee/yoshi"": 402}"
